Event,Event Date,Run Number,Position,Finish Time,Age Grade,PB
Father Collins,2026-09-19,491,164,43:50,31.86%,
York Community Woodland,2026-09-12,33,345,53:58,25.88%,
Armley,2026-09-05,354,200,47:19,29.52%,
Stretford,2026-08-29,468,756,51:57,26.88%,
Stretford,2026-08-22,467,884,59:18,23.55%,
Stretford,2026-08-15,466,657,45:55,30.42%,
Stretford,2026-08-08,465,890,54:20,25.71%,
Cheadle Hulme,2026-08-01,479,132,52:08,26.79%,PB
Croxteth Hall,2026-07-25,474,518,58:34,23.85%,
Stretford,2026-07-18,462,710,44:21,31.49%,
Stretford,2026-07-11,461,510,42:47,32.65%,
Stretford,2026-07-04,460,612,43:39,32.00%,
Stretford,2026-06-27,459,505,44:36,31.32%,
Burnage,2026-06-20,636,329,53:35,26.07%,
Macclesfield,2026-06-13,341,266,43:08,32.38%,
"Lister Park, Bradford",2026-06-06,746,386,46:30,30.04%,
Victoria Embankment,2026-05-30,12,658,43:47,31.90%,
"Kingsway Park, Urmston",2026-05-23,4,498,46:56,29.76%,
Holbrooks,2026-05-16,132,106,41:26,33.71%,
The Wammy,2026-05-09,349,515,47:43,29.27%,
Tawd Valley,2026-05-02,274,220,49:59,27.94%,
Stretford,2026-04-25,450,725,54:36,25.58%,
Halifax,2026-04-18,482,211,52:17,26.71%,
Worden,2026-04-11,116,230,51:24,27.17%,
Pontefract,2026-04-04,700,344,52:24,26.65%,
Stretford,2026-03-28,446,819,54:52,25.46%,
The Fisherman’s Walk,2026-03-21,83,110,51:36,27.07%,
Stretford,2026-03-14,444,745,51:32,27.10%,
Northwich,2026-03-07,334,338,51:49,26.95%,
Peel,2026-02-28,215,554,48:54,28.32%,
Oakwell Hall,2026-02-21,430,111,57:40,24.02%,
Heaton Park,2026-02-14,722,992,51:32,26.88%,
Stretford,2026-02-07,439,663,44:05,31.42%,
Stretford,2026-01-31,438,666,43:55,31.54%,
Stretford,2026-01-24,437,756,53:24,25.94%,
Fountains Abbey,2026-01-17,525,429,43:59,31.49%,
Woodbank,2026-01-10,767,320,47:50,28.95%,
Clarence,2026-01-03,103,150,51:02,27.14%,
Cliffe Castle,2026-01-01,307,124,51:59,26.64%,
Birkenhead,2025-12-27,455,874,52:34,26.35%,
Worsley Woods,2025-12-25,625,756,53:16,26.00%,
Bolton,2025-12-20,678,295,51:25,26.94%,
Haigh Woodland,2025-12-13,443,193,52:20,26.46%,
Burnley,2025-12-06,614,321,46:39,29.69%,
Pendle,2025-11-29,517,76,46:36,29.72%,
Ormskirk,2025-11-22,498,314,46:49,29.58%,
Knowsley,2025-11-15,378,137,45:16,30.60%,
Ballincollig,2025-11-08,400,322,42:30,32.59%,
Southport,2025-11-01,420,368,1:09:23,19.96%,
Pont y Bala,2025-10-25,217,73,55:29,24.96%,
Morecambe Prom,2025-10-18,262,383,43:44,31.67%,
Selby,2025-10-11,332,216,39:47,34.81%,
Żary,2025-10-04,559,54,42:21,32.70%,
Mauerweg,2025-10-03,29,703,37:32,36.90%,
Medina I.O.W.,2025-09-27,671,284,47:31,29.15%,
Cross Flatts,2025-09-20,562,96,38:39,35.83%,
University Parks,2025-09-13,186,534,39:03,35.47%,
Skipton,2025-09-06,562,163,41:19,33.52%,
Crosby,2025-08-30,432,241,38:14,36.22%,
Jubilee,2025-08-23,209,65,36:58,37.47%,
Glossop,2025-08-16,411,116,40:06,34.54%,
Yarborough Leisure Centre,2025-08-09,118,183,34:13,40.48%,
